kind,param,value,seed,success,state,steps,sim_time,path_length,collisions,first_detect_t,reach_t,homing_t,est_err_cm,known_frac,oracle_len,path_eff,victim_x,victim_y,wall_s
fallback_off,thermal_range_1x,3.0,11,0,failed,646,64.60000000000001,29.413685994136348,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5848447102207212,14.0,10.5,4.081998234999901
fallback_off,thermal_range_1x,3.0,12,0,failed,401,40.1,18.00488452701032,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.9554317683047309,14.0,10.5,2.2020394500000293
fallback_off,thermal_range_1x,3.0,13,0,searching,700,70.0,34.96681338996131,2,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4919647229479206,14.0,10.5,5.40205818000004
fallback_off,thermal_range_1x,3.0,14,0,searching,700,70.0,29.523902947519083,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5826614012497793,14.0,10.5,4.344394106999971
fallback_off,thermal_range_1x,3.0,15,0,failed,432,43.2,18.875127939287243,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.9113813012074106,14.0,10.5,2.513223390999883
fallback_off,thermal_range_1x,3.0,16,0,failed,508,50.800000000000004,19.459291754241946,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.8840218276707827,14.0,10.5,2.8093475040000158
fallback_off,thermal_range_1x,3.0,17,0,failed,687,68.7,32.10943619945308,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5357440272357372,14.0,10.5,4.514660547000176
fallback_off,thermal_range_1x,3.0,18,0,failed,616,61.6,28.32315437155051,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.6073630936758628,14.0,10.5,3.9269106779997855
fallback_off,thermal_range_1x,3.0,19,0,searching,700,70.0,37.70445040334508,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.45624424909367683,14.0,10.5,5.805790759000047
fallback_off,thermal_range_3x,3.0,0,0,failed,772,77.2,36.60794587422765,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4699099676574489,14.0,10.5,4.972274756999923
fallback_off,thermal_range_3x,3.0,1,0,failed,751,75.10000000000001,35.71703798734913,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4816311662757984,14.0,10.5,5.433180747000051
fallback_off,thermal_range_3x,3.0,2,0,failed,616,61.6,27.712048810966067,0,nan,nan,nan,nan,0.9966145833333333,17.702438661763956,0.620756652786953,14.0,10.5,4.022584207000136
fallback_off,thermal_range_3x,3.0,3,0,failed,456,45.6,19.4194251270552,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.8858366583569701,14.0,10.5,2.7058929170000283
fallback_off,thermal_range_3x,3.0,4,0,failed,776,77.60000000000001,35.91334588469412,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.47899849590721233,14.0,10.5,5.659175528000105
fallback_off,thermal_range_3x,3.0,5,0,failed,621,62.1,28.53673899051076,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.6028172548897137,14.0,10.5,4.1912060810000185
fallback_off,thermal_range_3x,3.0,6,0,failed,656,65.60000000000001,29.910915031182718,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5751224475690588,14.0,10.5,4.208012876999874
fallback_off,thermal_range_3x,3.0,7,0,failed,421,42.1,18.76326897835018,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.9168145850071663,14.0,10.5,2.548455075999982
fallback_off,thermal_range_3x,3.0,8,0,failed,736,73.60000000000001,34.24266983279708,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5023684994704396,14.0,10.5,5.352373656000054
fallback_off,thermal_range_3x,3.0,9,0,failed,662,66.2,27.61753391135896,0,nan,nan,nan,nan,0.9966145833333333,17.702438661763956,0.6228810550926371,14.0,10.5,3.9592114770000535
fallback_off,thermal_range_3x,3.0,10,0,failed,621,62.1,29.113942476335836,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5908659974768552,14.0,10.5,3.826309580999805
fallback_off,thermal_range_3x,3.0,11,0,failed,646,64.60000000000001,29.413685994136348,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5848447102207212,14.0,10.5,4.20575669699997
fallback_off,thermal_range_3x,3.0,12,0,failed,401,40.1,18.00488452701032,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.9554317683047309,14.0,10.5,2.2549461050000446
fallback_off,thermal_range_3x,3.0,13,0,failed,731,73.10000000000001,34.96681338996131,2,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4919647229479206,14.0,10.5,5.624769010000136
fallback_off,thermal_range_3x,3.0,14,0,failed,703,70.3,29.523902947519083,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5826614012497793,14.0,10.5,4.530932236999888
fallback_off,thermal_range_3x,3.0,15,0,failed,432,43.2,18.875127939287243,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.9113813012074106,14.0,10.5,2.622369790999983
fallback_off,thermal_range_3x,3.0,16,0,failed,508,50.800000000000004,19.459291754241946,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.8840218276707827,14.0,10.5,2.869071723999923
fallback_off,thermal_range_3x,3.0,17,0,failed,687,68.7,32.10943619945308,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5357440272357372,14.0,10.5,4.571741401000054
fallback_off,thermal_range_3x,3.0,18,0,failed,616,61.6,28.32315437155051,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.6073630936758628,14.0,10.5,4.102317335999942
fallback_off,thermal_range_3x,3.0,19,0,failed,788,78.80000000000001,37.75540195783228,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4556285397511269,14.0,10.5,6.072799545999942
fallback_off,thermal_range_1x,4.0,0,1,reached,481,48.1,25.88514078314433,0,41.900000000000006,48.1,6.199999999999996,1.46725781489467,0.9966666666666667,17.702438661763956,0.6645680935591317,14.0,10.5,2.896458080000002
fallback_off,thermal_range_1x,4.0,1,0,searching,700,70.0,35.71703798734913,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4816311662757984,14.0,10.5,5.312315780000063
fallback_off,thermal_range_1x,4.0,2,0,failed,616,61.6,27.712048810966067,0,nan,nan,nan,nan,0.9966145833333333,17.702438661763956,0.620756652786953,14.0,10.5,4.093119839999872
fallback_off,thermal_range_1x,4.0,3,0,failed,456,45.6,19.4194251270552,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.8858366583569701,14.0,10.5,2.642523740000115
fallback_off,thermal_range_1x,4.0,4,0,searching,700,70.0,35.91334588469412,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.47899849590721233,14.0,10.5,5.465443052000182
fallback_off,thermal_range_1x,4.0,5,0,failed,621,62.1,28.53673899051076,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.6028172548897137,14.0,10.5,4.284369403000028
fallback_off,thermal_range_1x,4.0,6,0,failed,656,65.60000000000001,29.910915031182718,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5751224475690588,14.0,10.5,4.2022374640000635
fallback_off,thermal_range_1x,4.0,7,0,failed,421,42.1,18.76326897835018,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.9168145850071663,14.0,10.5,2.587778710000066
fallback_off,thermal_range_1x,4.0,8,0,searching,700,70.0,34.24266983279708,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5023684994704396,14.0,10.5,5.254353218000006
fallback_off,thermal_range_1x,4.0,9,0,failed,662,66.2,27.61753391135896,0,nan,nan,nan,nan,0.9966145833333333,17.702438661763956,0.6228810550926371,14.0,10.5,4.448101846999862
fallback_off,thermal_range_1x,4.0,10,0,failed,621,62.1,29.113942476335836,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5908659974768552,14.0,10.5,3.8257745290000003
fallback_off,thermal_range_1x,4.0,11,0,failed,646,64.60000000000001,29.413685994136348,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.5848447102207212,14.0,10.5,4.123004614000138
fallback_off,thermal_range_1x,4.0,12,0,failed,401,40.1,18.00488452701032,0,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.9554317683047309,14.0,10.5,2.2134860549999757
fallback_off,thermal_range_1x,4.0,13,0,searching,700,70.0,34.96681338996131,2,nan,nan,nan,nan,0.9966666666666667,17.702438661763956,0.4919647229479206,14.0,10.5,5.379877179999994
